id,timestamp,open,high,low,close,volume,current_price,conditions,date
9048.0,1991-02-01,343.05,344.9,340.37,343.05,,,,
9009.0,1991-02-04,348.34,348.71,342.96,348.34,,,,
8970.0,1991-02-05,351.26,351.84,347.21,351.26,,,,
8931.0,1991-02-06,358.07,358.07,349.58,358.07,,,,
8892.0,1991-02-07,356.52,363.43,355.53,356.52,,,,
8853.0,1991-02-08,359.35,359.35,356.02,359.35,,,,
8814.0,1991-02-11,368.58,368.58,359.32,368.58,,,,
8775.0,1991-02-12,365.5,370.54,365.5,365.5,,,,
8736.0,1991-02-13,369.02,369.49,364.64,369.02,,,,
8697.0,1991-02-14,364.22,370.26,362.77,364.22,,,,
8658.0,1991-02-15,369.06,369.49,364.22,369.06,,,,
8619.0,1991-02-19,369.39,370.11,367.05,369.39,,,,
8580.0,1991-02-20,365.14,369.39,364.38,365.14,,,,
8541.0,1991-02-21,364.97,366.79,364.5,364.97,,,,
8502.0,1991-02-22,365.65,370.96,364.23,365.65,,,,
8463.0,1991-02-25,367.26,370.32,365.12,367.26,,,,
8424.0,1991-02-26,362.81,367.26,362.19,362.81,,,,
8385.0,1991-02-27,367.74,368.38,362.81,367.74,,,,
8346.0,1991-02-28,367.07,369.91,365.95,367.07,,,,
8307.0,1991-03-01,370.47,370.47,363.73,370.47,,,,
8268.0,1991-03-04,369.33,371.99,369.07,369.33,,,,
8229.0,1991-03-05,376.72,377.89,369.33,376.72,,,,
8190.0,1991-03-06,376.17,379.66,375.02,376.17,,,,
8151.0,1991-03-07,375.91,377.49,375.58,375.91,,,,
8112.0,1991-03-08,374.95,378.69,374.43,374.95,,,,
8073.0,1991-03-11,372.96,375.1,372.52,372.96,,,,
8034.0,1991-03-12,370.03,374.35,369.55,370.03,,,,
7995.0,1991-03-13,374.57,374.65,370.03,374.57,,,,
7956.0,1991-03-14,373.5,378.28,371.76,373.5,,,,
7917.0,1991-03-15,373.59,374.58,370.21,373.59,,,,
7878.0,1991-03-18,372.11,374.09,369.46,372.11,,,,
7839.0,1991-03-19,366.59,372.11,366.54,366.59,,,,
7800.0,1991-03-20,367.92,368.85,365.8,367.92,,,,
7761.0,1991-03-21,366.58,371.01,366.51,366.58,,,,
7722.0,1991-03-22,367.48,368.22,365.58,367.48,,,,
7683.0,1991-03-25,369.83,371.31,367.46,369.83,,,,
7644.0,1991-03-26,376.3,376.3,369.37,376.3,,,,
7605.0,1991-03-27,375.35,378.48,374.73,375.35,,,,
7566.0,1991-03-28,375.22,376.6,374.4,375.22,,,,
7527.0,1991-04-01,371.3,375.22,370.27,371.3,,,,
7488.0,1991-04-02,379.5,379.5,371.3,379.5,,,,
7449.0,1991-04-03,378.94,381.56,378.49,378.94,,,,
7410.0,1991-04-04,379.77,381.88,377.05,379.77,,,,
7371.0,1991-04-05,375.36,381.12,374.15,375.36,,,,
7332.0,1991-04-08,378.66,378.76,374.69,378.66,,,,
7293.0,1991-04-09,373.56,379.02,373.11,373.56,,,,
7254.0,1991-04-10,373.15,374.83,371.21,373.15,,,,
7215.0,1991-04-11,377.63,379.53,373.15,377.63,,,,
7176.0,1991-04-12,380.4,381.07,376.89,380.4,,,,
7137.0,1991-04-15,381.19,382.32,378.78,381.19,,,,
7098.0,1991-04-16,387.62,387.62,379.64,387.62,,,,
7059.0,1991-04-17,390.45,391.26,387.3,390.45,,,,
7020.0,1991-04-18,388.46,390.97,388.13,388.46,,,,
6981.0,1991-04-19,384.2,388.46,383.9,384.2,,,,
6942.0,1991-04-22,380.95,384.2,380.16,380.95,,,,
6903.0,1991-04-23,381.76,383.55,379.67,381.76,,,,
6864.0,1991-04-24,382.76,383.02,379.99,382.76,,,,
6825.0,1991-04-25,379.25,382.89,378.43,379.25,,,,
6786.0,1991-04-26,379.02,380.11,376.77,379.02,,,,
6747.0,1991-04-29,373.66,380.96,373.66,373.66,,,,
6708.0,1991-04-30,375.35,377.86,373.01,375.35,,,,
6669.0,1991-05-01,380.29,380.46,375.27,380.29,,,,
6630.0,1991-05-02,380.52,382.14,379.82,380.52,,,,
6591.0,1991-05-03,380.8,381.0,378.82,380.8,,,,
6552.0,1991-05-06,380.08,380.8,377.86,380.08,,,,
6513.0,1991-05-07,377.32,380.91,377.31,377.32,,,,
6474.0,1991-05-08,378.51,379.26,376.21,378.51,,,,
6435.0,1991-05-09,383.25,383.56,378.51,383.25,,,,
6396.0,1991-05-10,375.74,383.91,375.61,375.74,,,,
6357.0,1991-05-13,376.76,377.05,374.62,376.76,,,,
6318.0,1991-05-14,371.62,376.76,370.82,371.62,,,,
6279.0,1991-05-15,368.57,372.47,365.83,368.57,,,,
6240.0,1991-05-16,372.19,372.51,368.57,372.19,,,,
6201.0,1991-05-17,372.39,373.01,369.44,372.39,,,,
6162.0,1991-05-20,372.28,373.65,371.26,372.28,,,,
6123.0,1991-05-21,375.35,376.66,372.28,375.35,,,,
6084.0,1991-05-22,376.19,376.5,374.4,376.19,,,,
6045.0,1991-05-23,374.97,378.07,373.55,374.97,,,,
6006.0,1991-05-24,377.49,378.08,374.97,377.49,,,,
5967.0,1991-05-28,381.94,382.1,377.12,381.94,,,,
5928.0,1991-05-29,382.79,383.66,381.37,382.79,,,,
5889.0,1991-05-30,386.96,388.17,382.5,386.96,,,,
5850.0,1991-05-31,389.83,389.85,385.01,389.83,,,,
5811.0,1991-06-03,388.06,389.83,386.97,388.06,,,,
5772.0,1991-06-04,387.74,388.06,385.14,387.74,,,,
5733.0,1991-06-05,385.09,388.23,384.45,385.09,,,,
5694.0,1991-06-06,383.63,385.85,383.13,383.63,,,,
5655.0,1991-06-07,379.43,383.63,378.76,379.43,,,,
5616.0,1991-06-10,378.57,379.75,377.95,378.57,,,,
5577.0,1991-06-11,381.05,381.63,378.57,381.05,,,,
5538.0,1991-06-12,376.65,381.05,374.46,376.65,,,,
5499.0,1991-06-13,377.63,377.9,376.08,377.63,,,,
5460.0,1991-06-14,382.29,382.3,377.63,382.29,,,,
5421.0,1991-06-17,380.13,382.31,380.13,380.13,,,,
5382.0,1991-06-18,378.59,381.83,377.99,378.59,,,,
5343.0,1991-06-19,375.09,378.59,374.36,375.09,,,,
5304.0,1991-06-20,375.42,376.29,373.87,375.42,,,,
5265.0,1991-06-21,377.75,377.75,375.33,377.75,,,,
5226.0,1991-06-24,370.94,377.75,370.73,370.94,,,,
5187.0,1991-06-25,370.65,372.62,369.56,370.65,,,,
5148.0,1991-06-26,371.59,372.73,368.34,371.59,,,,
5109.0,1991-06-27,374.4,374.4,371.59,374.4,,,,
5070.0,1991-06-28,371.16,374.4,367.98,371.16,,,,
5031.0,1991-07-01,377.92,377.92,371.16,377.92,,,,
4992.0,1991-07-02,377.47,377.93,376.62,377.47,,,,
4953.0,1991-07-03,373.33,377.47,372.08,373.33,,,,
4914.0,1991-07-05,374.08,375.51,372.17,374.08,,,,
4875.0,1991-07-08,377.94,377.94,370.92,377.94,,,,
4836.0,1991-07-09,376.11,378.58,375.37,376.11,,,,
4797.0,1991-07-10,375.74,380.35,375.2,375.74,,,,
4758.0,1991-07-11,376.97,377.68,375.51,376.97,,,,
4719.0,1991-07-12,380.25,381.41,375.79,380.25,,,,
4680.0,1991-07-15,382.39,383.0,380.24,382.39,,,,
4641.0,1991-07-16,381.54,382.94,380.8,381.54,,,,
4602.0,1991-07-17,381.18,382.86,381.13,381.18,,,,
4563.0,1991-07-18,385.37,385.37,381.18,385.37,,,,
4524.0,1991-07-19,384.22,385.83,383.65,384.22,,,,
4485.0,1991-07-22,382.88,384.55,381.84,382.88,,,,
4446.0,1991-07-23,379.42,384.86,379.39,379.42,,,,
4407.0,1991-07-24,378.64,380.46,378.29,378.64,,,,
4368.0,1991-07-25,380.96,381.13,378.15,380.96,,,,
4329.0,1991-07-26,380.93,381.76,379.81,380.93,,,,
4290.0,1991-07-29,383.15,383.15,380.45,383.15,,,,
4251.0,1991-07-30,386.69,386.92,383.15,386.69,,,,
4212.0,1991-07-31,387.81,387.81,386.19,387.81,,,,
4173.0,1991-08-01,387.12,387.95,386.48,387.12,,,,
4134.0,1991-08-02,387.18,389.56,386.05,387.18,,,,
4095.0,1991-08-05,385.06,387.18,384.48,385.06,,,,
4056.0,1991-08-06,390.62,390.8,384.29,390.62,,,,
4017.0,1991-08-07,390.56,391.59,389.86,390.56,,,,
3978.0,1991-08-08,389.32,391.8,388.15,389.32,,,,
3939.0,1991-08-09,387.12,389.89,387.04,387.12,,,,
3900.0,1991-08-12,388.02,388.17,385.9,388.02,,,,
3861.0,1991-08-13,389.62,392.12,388.02,389.62,,,,
3822.0,1991-08-14,389.9,391.85,389.13,389.9,,,,
3783.0,1991-08-15,389.33,391.92,389.29,389.33,,,,
3744.0,1991-08-16,385.58,390.41,382.59,385.58,,,,
3705.0,1991-08-19,376.47,385.58,374.09,376.47,,,,
3666.0,1991-08-20,379.43,380.35,376.47,379.43,,,,
3627.0,1991-08-21,390.59,390.59,379.43,390.59,,,,
3588.0,1991-08-22,391.33,391.98,390.21,391.33,,,,
3549.0,1991-08-23,394.17,395.34,390.69,394.17,,,,
3510.0,1991-08-26,393.85,394.39,392.75,393.85,,,,
3471.0,1991-08-27,393.06,393.87,391.77,393.06,,,,
3432.0,1991-08-28,396.64,396.64,393.03,396.64,,,,
3393.0,1991-08-29,396.47,396.82,395.14,396.47,,,,
3354.0,1991-08-30,395.43,396.47,393.6,395.43,,,,
3315.0,1991-09-03,392.15,397.62,392.1,392.15,,,,
3276.0,1991-09-04,389.97,392.62,388.68,389.97,,,,
3237.0,1991-09-05,389.14,390.97,388.49,389.14,,,,
3198.0,1991-09-06,389.1,390.71,387.36,389.1,,,,
3159.0,1991-09-09,388.57,389.34,387.88,388.57,,,,
3120.0,1991-09-10,384.56,388.63,383.78,384.56,,,,
3081.0,1991-09-11,385.09,385.6,383.59,385.09,,,,
3042.0,1991-09-12,387.34,387.34,385.09,387.34,,,,
3003.0,1991-09-13,383.59,387.95,382.85,383.59,,,,
2964.0,1991-09-16,385.78,385.79,382.77,385.78,,,,
2925.0,1991-09-17,385.5,387.13,384.97,385.5,,,,
2886.0,1991-09-18,386.94,386.94,384.28,386.94,,,,
2847.0,1991-09-19,387.56,389.42,386.27,387.56,,,,
2808.0,1991-09-20,387.92,388.82,386.49,387.92,,,,
2769.0,1991-09-23,385.92,388.55,385.76,385.92,,,,
2730.0,1991-09-24,387.71,388.13,384.46,387.71,,,,
2691.0,1991-09-25,386.88,388.25,385.99,386.88,,,,
2652.0,1991-09-26,386.49,388.39,385.3,386.49,,,,
2613.0,1991-09-27,385.9,389.09,384.87,385.9,,,,
2574.0,1991-09-30,387.86,388.29,384.32,387.86,,,,
2535.0,1991-10-01,389.2,389.56,387.86,389.2,,,,
2496.0,1991-10-02,388.26,390.03,387.62,388.26,,,,
2457.0,1991-10-03,384.47,388.26,384.47,384.47,,,,
2418.0,1991-10-04,381.24,385.19,381.24,381.24,,,,
2379.0,1991-10-07,379.5,381.27,379.07,379.5,,,,
2340.0,1991-10-08,380.67,381.23,379.18,380.67,,,,
2301.0,1991-10-09,376.8,380.67,376.35,376.8,,,,
2262.0,1991-10-10,380.55,380.55,376.11,380.55,,,,
2223.0,1991-10-11,381.45,381.46,379.9,381.45,,,,
2184.0,1991-10-14,386.47,386.47,381.45,386.47,,,,
2145.0,1991-10-15,391.01,391.5,385.95,391.01,,,,
2106.0,1991-10-16,392.8,393.29,390.14,392.8,,,,
2067.0,1991-10-17,391.92,393.81,390.32,391.92,,,,
2028.0,1991-10-18,392.5,392.8,391.77,392.5,,,,
1989.0,1991-10-21,390.02,392.5,388.96,390.02,,,,
1950.0,1991-10-22,387.83,391.2,387.4,387.83,,,,
1911.0,1991-10-23,387.94,389.08,386.52,387.94,,,,
1872.0,1991-10-24,385.07,388.32,383.45,385.07,,,,
1833.0,1991-10-25,384.2,386.13,382.97,384.2,,,,
1794.0,1991-10-28,389.52,389.52,384.2,389.52,,,,
1755.0,1991-10-29,391.48,391.7,386.88,391.48,,,,
1715.0,1991-10-30,392.96,393.11,390.78,392.96,,,,
